"Task","BaselineSeconds","Agent02Seconds","FasterAgent"
"task_01","0.983","1.541","baseline"
"task_02","1.164","2.092","baseline"
"task_03","1.505","0.747","agent_02"
"task_04","0.833","1.098","baseline"
"task_05","1.351","1.705","baseline"
"task_06","1.358","1.806","baseline"
"task_07","1.45","0.731","agent_02"
"task_08","1.503","0.887","agent_02"
"task_09","1.022","0.994","agent_02"
"task_10","1.269","0.84","agent_02"
"task_11","0.834","0.823","agent_02"
"task_12","1.344","0.866","agent_02"
"task_13","1.11","0.821","agent_02"
"task_14","0.938","0.845","agent_02"
"task_15","0.731","0.966","baseline"
"task_16","1.414","1.428","baseline"
"task_17","0.726","0.784","baseline"
"task_18","0.788","0.666","agent_02"
"task_19","0.792","0.815","baseline"
"task_20","0.678","0.753","baseline"
"task_21","0.787","1.007","baseline"
"task_22","1.029","0.99","agent_02"
"task_23","1.05","1.02","agent_02"
"task_24","1.017","1.304","baseline"
"task_25","1.021","0.981","agent_02"
"task_26","0.912","1.21","baseline"
"task_27","1.011","0.903","agent_02"
"task_28","1.27","1.072","agent_02"
"task_29","0.756","0.905","baseline"
"task_30","0.707","1.721","baseline"
"task_31","0.788","1.066","baseline"
"task_32","1.912","2.037","baseline"
