task_id,agent,run,attempt,passed,duration_seconds
task_01,baseline,1,1,True,0.38
task_01,baseline,2,1,True,0.33
task_01,baseline,3,1,True,0.37
task_01,baseline,4,1,True,0.43
task_01,baseline,5,1,True,0.42
task_01,agent_02,1,1,True,0.37
task_01,agent_02,2,1,True,0.33
task_01,agent_02,3,1,True,0.38
task_01,agent_02,4,1,True,0.36
task_01,agent_02,5,1,True,0.36
task_02,baseline,1,1,True,0.37
task_02,baseline,2,1,True,0.36
task_02,baseline,3,1,True,0.41
task_02,baseline,4,1,True,0.35
task_02,baseline,5,1,True,0.34
task_02,agent_02,1,1,True,0.35
task_02,agent_02,2,1,True,0.36
task_02,agent_02,3,1,True,0.41
task_02,agent_02,4,1,True,0.37
task_02,agent_02,5,1,True,0.36
task_03,baseline,1,1,False,0.42
task_03,baseline,1,2,False,0.45
task_03,baseline,1,3,False,0.44
task_03,baseline,2,1,False,0.43
task_03,baseline,2,2,False,0.42
task_03,baseline,2,3,False,0.41
task_03,baseline,3,1,False,0.43
task_03,baseline,3,2,False,0.44
task_03,baseline,3,3,False,0.42
task_03,baseline,4,1,False,0.43
task_03,baseline,4,2,False,0.43
task_03,baseline,4,3,False,0.42
task_03,baseline,5,1,False,0.41
task_03,baseline,5,2,False,0.43
task_03,baseline,5,3,False,0.42
task_03,agent_02,1,1,False,0.43
task_03,agent_02,1,2,False,0.41
task_03,agent_02,1,3,False,0.41
task_03,agent_02,2,1,False,0.42
task_03,agent_02,2,2,False,0.41
task_03,agent_02,2,3,False,0.41
task_03,agent_02,3,1,False,0.44
task_03,agent_02,3,2,False,0.47
task_03,agent_02,3,3,False,0.42
task_03,agent_02,4,1,False,0.45
task_03,agent_02,4,2,False,0.43
task_03,agent_02,4,3,False,0.42
task_03,agent_02,5,1,False,0.43
task_03,agent_02,5,2,False,0.43
task_03,agent_02,5,3,False,0.42
task_04,baseline,1,1,False,0.44
task_04,baseline,1,2,False,0.42
task_04,baseline,1,3,False,0.43
task_04,baseline,2,1,False,0.43
task_04,baseline,2,2,False,0.45
task_04,baseline,2,3,False,0.46
task_04,baseline,3,1,False,0.49
task_04,baseline,3,2,False,0.43
