task_id,agent,run,attempt,generation_success,tests_executed,passed,recovery_attempted,recovery_success,final_success,failure_type,attempts_used,duration_seconds,returncode,error
task_32,baseline,1,1,True,True,False,False,False,False,test_failure,1,1.87,1,
task_32,baseline,1,2,True,True,True,True,False,True,success,2,1.89,0,
task_32,baseline,2,1,True,True,False,False,False,False,test_failure,1,1.9,1,
task_32,baseline,2,2,True,True,True,True,False,True,success,2,1.62,0,
task_32,baseline,3,1,True,True,False,False,False,False,test_failure,1,1.78,1,
task_32,baseline,3,2,True,True,True,True,False,True,success,2,1.7,0,
task_32,baseline,4,1,True,True,False,False,False,False,test_failure,1,1.82,1,
task_32,baseline,4,2,True,True,True,True,False,True,success,2,2.03,0,
task_32,baseline,5,1,True,True,False,False,False,False,test_failure,1,2.47,1,
task_32,baseline,5,2,True,True,True,True,False,True,success,2,1.99,0,
task_32,agent_02,1,1,True,True,True,False,False,True,success,1,1.83,0,
task_32,agent_02,2,1,True,True,True,False,False,True,success,1,1.68,0,
task_32,agent_02,3,1,True,True,True,False,False,True,success,1,1.79,0,
task_32,agent_02,4,1,True,True,True,False,False,True,success,1,2.09,0,
task_32,agent_02,5,1,True,True,True,False,False,True,success,1,1.8,0,
